Chr	Start	End	DSBType	Size	Sum_H3K36me3	Sum_H3K27me3	Sum_H3K4me3	Sum_CTCF	Sum_DNaseIHSS1	Sum_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
chr1	189531019	189532120	1	1101	21.1476	0	236.4	69.9	10.98	6.3323	0	5162	552095	21056	2291180	3069313	2622178
chr1	189787307	189787735	1	428	0	0	0	0	1.02139	0	691	19435	618124	29803	2547468	2813698	2878466
chr1	193130463	193131599	1	1136	223.211	13.195	0	262.7	10.5641	6.71608	14809	3347	20495	20519	36857	528912	3590
chr1	194272495	194273212	1	717	152.63	70.3447	0	0	2.94745	6.71608	19326	3491	13432	13411	151934	1670944	1040274
chr1	194450103	194451359	1	1256	72.6373	0	0	69.5	2.84531	0	0	11190	2739	2739	329542	1848552	1217882
chr1	195801362	195802547	1	1185	165.503	341.823	0	0	12.5923	13.72	0	4387	636502	41043	1208434	2074152	1249385
chr1	197962153	197963372	1	1219	172.986	500.263	66.9595	62.9	10.9946	56.3192	77075	3275	7897	7904	63768	70233	218010
chr1	202173609	202174629	1	1020	136.212	377.648	22.8972	552.6	8.81316	40.4884	45520	372	30980	11385	43079	10996	46155
chr1	206696484	206698169	1	1685	302.503	134.755	91.8216	621.9	13.0446	28.7832	4127	347	15620	6690	14703	378679	21608
chr1	207386936	207387369	1	433	105.738	130.782	59.684	140.4	5.34772	3.07021	1706	4933	107447	4008	96030	102267	113688
chr1	207688279	207688683	1	404	211.476	118.892	0	182.9	10.8851	7.96335	0	7196	18343	15195	16488	379598	7288
chr1	215007239	215007828	1	589	0	237.795	0	0	2.75776	8.10727	35586	10383	167308	68525	229000	228867	167078
chr1	215382492	215383551	1	1059	3.9609	0	121.11	0	6.44936	17.5578	6153	1060	207208	126701	356475	127140	410228
chr1	216203313	216204243	1	930	105.738	143.662	0	0	11.9649	14.2957	11058	3654	138409	23729	190480	684259	409402
chr1	220133426	220134582	1	1156	62.5955	361.504	60.3872	8.7	5.62496	14.1997	18512	20754	27254	13942	27012	31034	11306
chr1	222311334	222312557	1	1223	0	0	0	0	7.29567	87.3091	4718	3887	41579	27979	265716	76501	398430
chr1	223551735	223552237	1	502	95.2254	88.2522	58.4217	68.5	2.26166	21.1077	36320	5276	13911	13311	14210	15008	352787
chr1	224199417	224204305	1	4888	2141.08	1724.33	1228.51	36302.3	110.281	191.696	0	0	6877	6853	18441	29171	115765
chr1	230410727	230411810	1	1083	1037.83	107.126	98.2534	331.3	12.7309	22.0671	8694	4342	62023	4282	56497	17487	183
chr1	231257544	231258072	1	528	0	91.5082	81.5059	0	1.56857	7.05188	0	2724	89184	29660	40129	13766	102150
chr1	233730003	233730723	1	720	0	118.892	109.789	0	10.0534	32.7169	4608	6875	3978	2713	4624	275061	304377
chr1	234204374	234205132	1	758	0	196.827	58.4211	176	7.20082	7.67552	0	451	2546	2530	144577	18361	306284
chr1	234243651	234244635	1	984	95.6743	354.806	0	497.5	6.08458	18.4212	1642	134	41823	5808	105074	19909	266781
chr1	235131184	235132131	1	947	106.276	271.787	24.3218	18.6	12.8477	26.9603	0	897	14300	6656	14636	216515	139379
chr1	236201804	236202777	1	973	295.869	310.354	12.4066	457.9	8.22951	0	0	13158	38840	18919	24117	101228	2913
chr1	237343697	237344211	1	514	105.738	165.802	6.46464	0	7.00383	12.4727	3207	8054	46712	24763	382942	125290	278360
chr1	238804568	238805660	1	1092	295.942	1.48449	0	546	6.5661	16.0706	0	11444	420431	67071	578346	1586161	1739231
chr1	242556508	242558601	1	2093	0	0	0	972.1	11.5709	6.71608	0	1074	62085	74697	59324	127782	513904
chr1	243202564	243203248	1	684	0	0	0	0	1.46643	6.71608	0	15192	61720	61688	61156	515197	233524
chr1	245824695	245825729	1	1034	392.943	96.5751	0	171.1	4.66922	23.0266	20019	6513	11647	11687	12294	123199	9926
chr1	249239198	249240668	1	1470	0	0	0	492.9	75.357	118.059	2091899	18762	38434	0	37603	3537702	20830
chr10	2307125	2307992	1	867	317.392	143.031	0	69	10.3598	0	6040	3061	182961	126664	524993	267230	538256
chr10	2370183	2370841	1	658	105.738	118.892	0	31.8	4.77136	21.1077	0	13976	246019	63815	588051	330288	601314
chr10	2396019	2396679	1	660	0	59.7292	0	0	4.37739	14.6794	114	10908	271855	37977	613887	356124	627150
chr10	2625448	2626724	1	1276	70.7446	128.752	78.185	95.5	9.5938	7.67552	0	7484	207561	116272	482456	302159	488565
chr10	4537966	4538589	1	623	0	0	0	356.2	2.50971	6.14042	1460	5360	126894	18072	373967	19159	713656
chr10	6876785	6879840	1	3055	653.511	595.477	221.902	431.5	54.4986	151.352	93610	307	64565	5617	88341	19137	324445
chr10	7686159	7686914	1	755	0	118.892	83.4046	0	6.35452	0	13635	2788	42462	21810	141714	15393	105434
chr10	7779300	7780430	1	1130	37.698	36.6599	98.9382	0	7.69693	5.03706	5719	4363	49586	14216	48198	71966	11918
chr10	8310236	8312227	1	1991	199.698	137.62	0	665.1	19.6545	37.4182	8637	7364	45389	8029	61888	118921	194039
chr10	8404404	8405319	1	915	59.3149	94.4275	0	158.8	9.33116	33.0527	0	1316	1780	1800	29566	25829	288207
chr10	9429761	9430916	1	1155	211.476	284.351	38.2561	138.3	8.13466	14.1517	58353	12572	85391	17773	224873	87559	1313564
chr10	9696789	9697553	1	764	0	118.892	43.6153	109.2	2.04279	14.3916	0	5777	41185	41165	40787	354587	1522244
chr10	12735691	12736809	1	1118	67.0269	120.986	18.2399	375.8	9.63028	8.34713	1959	2537	16387	12827	57982	305989	26534
chr10	13156559	13157721	1	1162	426.467	0	0	198	5.50093	22.0671	3041	8575	14435	13935	12218	113522	144
chr10	15736104	15736835	1	731	89.2345	52.6858	38.2218	0	4.74218	0	12765	4816	49490	4429	163713	21062	83077
chr10	17366383	17367588	1	1205	168.813	889.65	208.308	264.2	10.71	14.5355	25627	95	7599	7406	92647	37479	87630
chr10	17499841	17500372	1	531	44.9982	56.767	0	80.9	4.62545	0	59802	2277	53104	3197	3043	12261	204433
chr10	17596859	17597634	1	775	2.2004	0	104.527	70.8	6.25967	6.18839	28569	2623	3814	3822	60800	109279	107171
chr10	18998641	18999102	1	461	105.738	0	0	0	6.62447	3.69384	7206	8541	50297	214	47785	1107224	32530
chr10	19390158	19391296	1	1138	248.546	167.917	17.5991	69	6.87252	10.8896	1661	12732	229328	55931	439302	715030	424047
chr10	19460308	19461362	1	1054	10.1141	0	2.30895	319.8	5.77087	14.3916	4256	746	159262	12933	509452	644964	494197
chr10	19526299	19527723	1	1424	139.365	128.8	0	0	5.51553	27.8238	4823	11407	92901	38055	575443	578603	560188
chr10	19594459	19595555	1	1096	105.738	213.615	0	644.5	10.3598	7.67552	0	3939	25069	106215	643603	510771	628348
chr10	19603738	19605068	1	1330	0	115.127	80.2804	171.3	4.28255	14.7274	1535	3950	15556	115494	652882	501258	637627
chr10	19657843	19658729	1	886	58.8454	0	84.5562	0	5.70521	44.3261	779	7446	37071	119205	706987	447597	691732
chr10	20414921	20415785	1	864	173.127	0	0	82.2	8.46297	25.9049	4268	6302	121937	27676	1367146	308454	1417019
chr10	22588995	22589708	1	713	143.437	0	104.064	67.4	3.27575	7.67552	5229	427	15568	7768	14684	35341	28532
chr10	23440874	23443304	1	2430	0	34.6769	110.951	108	4.3774	14.3916	3763	3762	3112	3072	3099	39182	31026
chr10	24078736	24079698	1	962	86.3149	88.3243	33.7101	423.9	11.6366	29.4068	0	0	47211	47219	347470	95448	594218
chr10	24099160	24100428	1	1268	225.545	250.652	26.0161	258.8	11.1915	0	10949	1227	67635	67643	367894	115872	573488
chr10	27731642	27732940	1	1298	103.406	0	93.3459	14.6	14.3287	35.1635	33329	2065	60116	21135	59753	175235	90955
chr10	28473036	28473346	1	310	51.4898	144.652	0	0	5.10696	0	3219	3056	5450	4352	117969	99653	353173
chr10	29623116	29623553	1	437	105.738	368.591	142.323	179.2	2.75046	0	18920	73	48392	48372	74458	252735	86160
chr10	31975948	31976756	1	808	282.774	134.64	185.618	355.5	6.68282	20.1482	4238	5917	19880	19480	19011	42070	160150
chr10	38772428	38780952	1	8524	2936.79	2443.92	1855.62	35505.1	166.013	189.01	88706	0	80324	79604	79567	2875888	368062
chr10	38784469	38792546	1	8077	3576.07	3979.85	1765.07	19204.7	213.785	151.592	100747	933	92365	91645	91608	2887929	380103
chr10	38792933	38811989	1	19056	7666.46	5837.87	5658.84	56170.6	678.118	422.729	109211	0	100829	100109	100072	2896393	388567
chr10	38812356	38818842	1	6486	2544.45	2226.2	1417.11	34899.4	194.977	302.655	106220	4456	120252	119532	119495	2915816	407990
chr10	38868934	38875896	1	6962	2822.83	2779.75	1792.23	42198.8	260.66	341.561	49166	61034	176830	176110	176073	2972394	464568
chr10	39076614	39089072	1	12458	4514.04	4625.53	2935.59	85019.6	334.835	485.477	11228	28336	384510	383790	383753	3180074	672248
chr10	39090556	39120752	1	30196	9653.88	6643.59	6726.32	135186	741.86	701.159	0	0	398452	397732	397695	3194016	686190
chr10	39121043	39121904	1	861	105.738	375.45	133.141	19400.3	66.3906	53.7286	1167	3341	428939	428219	428182	3224503	716677
chr10	39122209	39134733	1	12524	5029.7	4446.53	2533.86	49093	368.986	417.356	2333	4507	430105	429385	429348	3225669	717843
chr10	39135296	39154938	1	19642	7380	5193.28	4096.29	111825	509.106	844.739	15420	17594	443192	442472	442435	3238756	730930
chr10	42354993	42381093	1	26100	7286.18	6396.87	4650.76	719586	4325.81	3732.03	0	0	666643	263403	481704	1177868	706113
chr10	42382438	42389952	1	7514	1980.45	581.517	1107.65	629943	2342.66	3108.01	0	0	657784	254544	472845	1169009	697254
chr10	42390307	42397219	1	6912	1366.52	883.818	1000.24	547587	2570.61	4161	2167	0	650517	247277	465578	1161742	689987
chr10	42398027	42399677	1	1650	320.383	324.67	229.503	133204	4128.06	8761.33	0	365	648059	244819	463120	1159284	687529
chr10	42399967	42401040	1	1073	260.397	294.779	179.566	50642.1	482.01	1801.3	0	0	646696	243456	461757	1157921	686166
chr10	42527162	42528874	1	1712	501.365	199.763	417.893	15075.7	426.972	1168.45	14532	3009	518862	115622	333923	1030087	558332
chr10	42529145	42530923	1	1778	277.04	504.928	337.848	121101	6737.1	5099.43	15293	960	516813	113573	331874	1028038	556283
chr10	42531868	42542092	1	10224	680.406	513.056	663.345	106711	3032.45	6161.53	4124	0	505644	102404	320705	1016869	545114
chr10	42542537	42545331	1	2794	0	0	0	0	87.4021	43.1748	885	10360	502405	99165	317466	1013630	541875
chr10	42545726	42546502	1	776	0	0	0	0	0	0	0	13549	501234	97994	316295	1012459	540704
chr10	42596812	42600565	1	3753	1141.26	676.534	776.616	105750	463.049	916.841	0	64635	447171	43931	262232	958396	486641
chr10	42644301	42648270	1	3969	538.805	513.684	332.853	3186.5	210.991	131.635	0	25580	399466	0	214527	910691	438936
chr10	42790573	42795519	1	4946	2155.08	955.718	924.381	23325.7	87.6939	70.6148	10305	10590	252217	52549	67278	763442	291687
chr10	42796182	42802581	1	6399	1938.76	2538.65	1311.49	52452.9	130.994	378.931	3243	3528	245155	58158	60216	756380	284625
chr10	42803608	42810769	1	7161	2204.34	2468.77	1728.74	18323.5	251.153	125.543	0	0	236967	52107	52028	748192	276437
chr10	42811026	42812543	1	1517	650.176	535.293	168.67	2511.1	14.4381	21.1077	0	4623	235193	50333	50254	746418	274663
chr10	42812905	42815664	1	2759	833.245	1474.81	533.536	9942.8	66.3687	61.4042	0	2578	232072	47212	47133	743297	271542
chr10	42815881	42818248	1	2367	683.547	669.731	802.408	15608.6	273.69	551.966	0	0	229488	44628	44549	740713	268958
chr10	42843306	42843910	1	604	0	0	62.7448	103	5.97515	6.71608	26111	24770	203826	18966	18887	715051	243296
chr10	45524397	45525206	1	809	0	184.284	48.9715	0	9.6011	0.383776	49865	1197	27313	20093	26664	230027	34365
chr10	48558149	48559355	1	1206	32.127	277.12	0	144.5	18.0787	34.8277	273840	7265	76585	26856	202856	60072	884479
chr10	49882977	49885357	1	2380	570.047	232.494	96.8492	275.3	30.671	64.2825	0	2870	1726	839	1701	80379	13262
chr10	53313335	53314269	1	934	222.949	51.52	71.9605	8	4.23148	15.351	6414	12075	145167	130671	143836	310138	143255
chr10	53617608	53618343	1	735	63.7784	422.029	96.206	230.5	8.49216	6.57216	0	1281	97464	20753	157514	451069	159585
chr10	54593649	54595252	1	1603	105.738	151.588	0	0	12.4318	7.67552	36348	166	15625	15625	524960	235887	1135626
chr10	56783609	56784194	1	585	0	0	0	0	6.28156	15.3511	9932	17550	1336922	24970	1335327	1951671	1333584
chr10	57302249	57303094	1	845	98.3822	118.892	0	0	6.47855	10.7937	44162	9773	818022	57202	816427	2470311	814684
chr10	59229882	59232739	1	2857	0	297.069	0	388.3	7.14975	22.0671	956	11845	704479	184257	792192	958935	736137
chr10	59452704	59453922	1	1218	105.738	118.892	14.7773	169	9.48436	41.2559	79045	642	483296	9281	571009	737752	514954
chr10	61985572	61986650	1	1078	295.265	261.423	0	178.3	6.29616	10.0741	0	392	10146	10146	10310	6102	335513
chr10	62228597	62229717	1	1120	584.096	211.004	45.9108	181.7	8.81315	9.21062	13248	4277	9542	9519	231326	49201	322207
chr10	64129525	64131303	1	1778	95.3002	264.56	100.049	326.4	15.3647	25.5211	4926	0	12653	2773	100435	3134	275469
chr10	66312641	66313837	1	1196	105.738	118.892	0	61.9	10.1847	1.15133	1346	624	511267	22575	511227	687875	976347
chr10	66846794	66848362	1	1568	172.403	356.677	222.82	664.6	12.5194	27.392	2349	2211	1045420	32560	797647	1222028	1510500
chr10	69485321	69488176	1	2855	387	282.369	0	440.7	27.4755	33.0047	11060	27661	35160	27598	29392	1517566	158796
chr10	69941938	69942228	1	290	0	0	0	0	0	3.21412	6102	7612	9414	9454	48398	1063514	156202
chr10	78376126	78378183	1	2057	180.113	196.622	17.046	507	8.69643	34.4919	2940	11448	6193	6213	1017858	312961	1164436
chr10	83130089	83131271	1	1182	0	108.985	0	340.4	2.5243	14.1997	31408	0	131321	60884	327223	632828	849694
chr10	83453326	83454367	1	1041	225.111	181.305	0	0	2.80153	16.5024	0	1727	138234	89558	650460	956065	1172931
chr10	86553507	86554301	1	794	0	132.494	194.698	353.5	3.1955	0	0	10198	252982	23495	252764	184787	280059
chr10	90454665	90455467	1	802	105.738	265.526	0	0	7.74799	42.3113	19405	1099	24219	24181	111009	511381	212556
chr10	91547945	91548653	1	708	95.6014	59.3796	0	355.2	1.80933	5.18098	3124	2019	4883	4863	48420	269393	6871
chr10	91756159	91758338	1	2179	422.952	356.677	224.198	0	31.6486	57.4705	19653	3202	3455	3555	53717	477607	215085
chr10	93374587	93375274	1	687	105.738	64.4	0	0	5.44986	6.71608	35645	2737	143182	17562	180847	159214	199668
chr10	93652135	93652694	1	559	0	111.317	0	0	5.39879	10.5059	387	226	15942	4811	4387	4966	38637
chr10	98575075	98576724	1	1649	161.825	0	0	0	14.1463	26.8643	0	4810	13652	13652	14285	218515	72474
chr10	103507345	103507889	1	544	58.7505	308.585	0	120.6	2.62644	21.1077	15092	3485	31841	22081	28311	27259	37877
chr10	104396871	104398009	1	1138	59.5903	0	64.6151	89	13.6575	9.78629	0	4010	3947	3967	3480	225946	9679
chr10	105010633	105011151	1	518	65.1619	74.1418	122.552	105.7	10.4766	17.5578	14342	70	26185	5929	25269	25371	54222
chr10	106455463	106456664	1	1201	131.263	33.2978	0	75.9	8.52863	6.71608	0	2981	52699	7379	341494	52823	369241
chr10	106616005	106616687	1	682	312.601	510.571	74.4882	0	9.9221	11.5133	8412	6486	46741	31561	502036	213365	529783
chr10	107001732	107002980	1	1248	143.681	0	53.3941	518.4	3.96155	29.7427	10965	552	318928	48555	887763	599092	915510
chr10	107615825	107616512	1	687	105.738	0	0	24.5	0	6.71608	21593	5063	768213	17761	1501856	925136	1529603
chr10	109846667	109847872	1	1205	135.541	134.702	0	89.3	8.14926	18.0375	0	2704	71969	9009	101465	1304879	1777369
chr10	111551082	111552006	1	924	87.3487	35.6677	110.951	69	9.39682	10.9856	6856	6245	131170	60290	129861	360980	73235
chr10	113001402	113002833	1	1431	127.36	0	1.38537	7.7	12.8112	0	11257	2534	95863	33782	164654	19519	218374
chr10	116757752	116758664	1	912	411.376	3.1122	0	83	7.18623	10.1701	0	3318	44668	2632	2548	335016	22715
chr10	117029500	117030085	1	585	162.744	370.574	110.951	119.1	10.5787	0	45584	20266	84803	51003	175560	606764	294463
chr10	118392953	118393776	1	823	68.4046	283.329	0	0	4.57438	12.6646	5400	9453	23614	23609	23416	24553	650148
